Rk,Player,PA,R_prod,oWAR,dWAR,BtRuns,WAR/pos,WPA,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
330,Jeff Mathis\mathije01,244,27,-1.9,0.9,-31,-1.5,-2.304,2019,36,TEX,AL,86,228,17,36,9,0,2,12,15,1,87,0,0,1,2,1,0,.158,.209,.224,.433,*2/1
331,Francisco Mejia\mejiafr01,244,41,1.0,0.0,-1,0.6,-0.218,2019,23,SDP,NL,79,226,27,60,11,2,8,22,13,1,56,4,0,1,6,1,1,.265,.316,.438,.754,*2H/7D
332,Austin Barnes\barneau01,242,48,0.1,0.5,-10,0.2,-1.218,2019,29,LAD,NL,75,212,28,43,12,1,5,25,23,3,56,5,0,2,8,3,0,.203,.293,.340,.633,*2H/4
333,Adam Haseley\haselad01,242,51,0.4,1.3,-5,1.8,-0.535,2019,23,PHI,NL,67,222,30,59,14,0,5,26,14,1,60,5,1,0,7,4,0,.266,.324,.396,.720,*879/H
334,Addison Russell\russead02,241,39,0.1,0.4,-7,0.2,-0.670,2019,25,CHC,NL,82,215,25,51,4,1,9,23,20,2,58,3,1,2,7,2,0,.237,.308,.391,.699,*46/H
335,Gordon Beckham\beckhgo01,240,38,-0.1,-0.8,-11,-1.0,-2.324,2019,32,DET,AL,83,223,29,48,13,2,6,15,13,0,68,4,0,0,6,3,1,.215,.271,.372,.643,4H6D/53
336,Austin Romine\rominau01,240,56,0.8,0.3,-1,0.7,0.872,2019,30,NYY,AL,72,228,29,64,12,0,8,35,10,0,50,0,1,1,7,1,1,.281,.310,.439,.748,*2/H1
337,Matthew Joyce\joycema01,238,48,1.3,-0.8,7,0.7,0.763,2019,34,ATL,NL,129,200,32,59,10,0,7,23,38,0,45,0,0,0,3,0,0,.295,.408,.450,.858,*H9/D7
338,Daniel Robertson\roberda10,237,40,-0.1,0.0,-10,-0.3,-0.582,2019,25,TBR,AL,74,207,23,44,9,1,2,19,24,0,59,6,0,0,10,2,2,.213,.312,.295,.607,*546/H1
339,Ehire Adrianza\adriaeh01,236,51,1.2,-0.3,1,0.8,0.274,2019,29,MIN,AL,83,202,34,55,8,3,5,22,20,1,40,6,2,4,2,0,2,.272,.349,.416,.765,653H/4971
340,Curt Casali\casalcu01,236,48,0.8,0.8,-3,1.2,-0.424,2019,30,CIN,NL,84,207,24,52,9,0,8,32,25,1,59,1,0,3,1,0,0,.251,.331,.411,.741,*2H/3D
341,Guillermo Heredia\heredgu01,231,46,0.0,0.3,-6,0.3,-0.756,2019,28,TBR,AL,89,204,31,46,13,0,5,20,18,0,60,6,2,1,4,2,2,.225,.306,.363,.668,89H7/D
342,Ender Inciarte\inciaen01,230,49,0.7,0.0,-3,0.6,0.865,2019,28,ATL,NL,65,199,30,49,11,2,5,24,26,2,41,4,0,1,1,7,1,.246,.343,.397,.740,*8/H
343,Keon Broxton\broxtke01,228,34,-1.1,0.4,-18,-0.7,-2.375,2019,29,TOT,ML,100,204,24,34,4,0,6,16,20,0,104,1,1,2,5,10,6,.167,.242,.275,.517,*87H/9D
344,Jake Cave\caveja01,228,45,1.0,-0.3,4,0.8,-0.232,2019,26,MIN,AL,72,198,28,51,11,2,8,25,21,0,71,8,0,1,5,0,0,.258,.351,.455,.805,*987/HD
345,Donovan Solano\solando01,228,46,1.6,0.0,5,1.4,1.182,2019,31,SFG,NL,81,215,27,71,13,1,4,23,10,0,49,1,0,2,4,0,1,.330,.360,.456,.815,4H6/5D
346,Jake Lamb\lambja01,226,50,0.1,0.0,-6,0.2,1.073,2019,28,ARI,NL,78,187,26,36,8,2,6,30,32,1,55,5,0,2,4,1,0,.193,.323,.353,.676,53H/D
347,Aristides Aquino\aquinar01,225,59,1.1,0.1,6,1.4,0.036,2019,25,CIN,NL,56,205,31,53,8,0,19,47,16,2,60,2,0,2,5,7,0,.259,.316,.576,.891,*9/H3
348,Grayson Greiner\greingr01,224,32,-0.5,0.2,-17,-0.7,-1.879,2019,26,DET,AL,58,208,18,42,5,1,5,19,13,0,70,1,1,1,5,0,0,.202,.251,.308,.559,*2
349,Isiah Kiner-Falefa\kineris01,222,43,-0.2,0.4,-13,-0.1,-0.544,2019,24,TEX,AL,65,202,23,48,12,1,1,21,14,0,49,4,1,1,9,3,0,.238,.299,.322,.620,*25/HD
