Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
DannyJansen,Blue Jays,107,384,13,41,43,0,8.10%,20.60%,0.153,0.23,0.207,0.279,0.36,0.275,68,88.9,-0.6,-16.3,17,1.4,16535
GregGarcia,Padres,134,372,4,52,31,0,14.20%,22.30%,0.106,0.323,0.248,0.364,0.354,0.319,97,85.8,0.2,-1.1,3.1,1.4,10951
JacobStallings,Pirates,71,210,6,26,13,0,7.60%,19.00%,0.12,0.303,0.262,0.325,0.382,0.297,82,89.2,-0.1,-5,12,1.3,13723
JuricksonProfar,Athletics,139,518,20,65,67,9,9.30%,14.50%,0.192,0.218,0.218,0.301,0.41,0.301,89,86.7,1.8,-5.3,0.7,1.3,10815
BrockHolt,Red Sox,87,295,3,38,31,1,9.50%,19.30%,0.104,0.365,0.297,0.369,0.402,0.333,103,87.3,-1.2,-0.2,3.4,1.3,9345
JorgeAlfaro,Marlins,130,465,18,44,57,4,4.70%,33.10%,0.162,0.364,0.262,0.312,0.425,0.312,95,90.8,-5.7,-9,7.5,1.3,12180
DonovanSolano,Giants,81,228,4,27,23,0,4.40%,21.50%,0.126,0.409,0.33,0.36,0.456,0.346,116,87,-0.9,4.1,2.1,1.3,8623
GarrettCooper,Marlins,107,421,15,52,50,0,7.80%,26.10%,0.165,0.357,0.281,0.344,0.446,0.337,111,89.1,-2.8,3.1,-3.3,1.3,15279
LeuryGarcia,White Sox,140,618,8,93,40,15,3.40%,22.50%,0.099,0.353,0.279,0.31,0.378,0.294,83,88.2,5.6,-7.6,-0.9,1.3,5913
BrandonNimmo,Mets,69,254,8,34,29,3,18.10%,28.00%,0.186,0.293,0.221,0.375,0.407,0.34,114,89.3,1.9,6.6,-1.5,1.3,12927
JonathanSchoop,Twins,121,464,23,61,59,1,4.30%,25.00%,0.217,0.298,0.256,0.304,0.473,0.324,100,87.6,-0.8,-0.6,-2.5,1.3,11265
StarlinCastro,Marlins,162,676,22,68,86,2,4.10%,16.40%,0.165,0.293,0.27,0.3,0.436,0.307,91,88.5,-4.2,-12.2,3.6,1.3,4579
JPCrawford,Mariners,93,396,7,43,46,5,10.90%,21.00%,0.145,0.275,0.226,0.313,0.371,0.296,86,85,0.7,-6.3,5.5,1.3,15491
AlexAvila,Diamondbacks,63,201,9,22,24,1,17.90%,33.80%,0.213,0.287,0.207,0.353,0.421,0.323,97,91.4,-3.1,-3.9,10.5,1.3,7476
AlexGordon,Royals,150,633,13,77,76,5,8.10%,15.80%,0.129,0.301,0.266,0.345,0.396,0.319,96,88.7,-2.4,-5.9,-3.5,1.3,5209
JarrodDyson,Diamondbacks,130,452,7,65,27,30,10.40%,19.00%,0.09,0.275,0.23,0.313,0.32,0.281,69,83.9,8.9,-9.5,7.8,1.3,4866
