Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,EV,BsR,f-Off,Def,fWAR,playerid
DeeGordon,Mariners,117,421,3,36,34,22,4.30%,14.50%,0.084,0.313,0.275,0.304,0.359,0.282,77,84.2,2.9,-9.6,-0.5,0.5,8203
MadisonBumgarner,Giants,37,76,2,4,4,0,11.80%,52.60%,0.095,0.286,0.127,0.236,0.222,0.213,29,91,0,-7.1,9.3,0.5,5524
BrandonBelt,Giants,156,616,17,76,57,4,13.50%,20.60%,0.169,0.275,0.234,0.339,0.403,0.319,99,87.3,-1.6,-2.5,-12.9,0.5,10264
BillyHamilton,- - -,119,353,0,41,15,22,9.10%,24.60%,0.057,0.299,0.218,0.289,0.275,0.251,50,80.7,5.8,-16.9,9.2,0.4,10199
TimLopes,Mariners,41,128,1,11,12,6,11.70%,22.70%,0.09,0.354,0.27,0.359,0.36,0.318,101,85,0.7,0.8,-0.8,0.4,14137
JonLester,Cubs,32,53,1,6,6,0,9.40%,37.70%,0.104,0.296,0.188,0.264,0.292,0.246,47,86.3,0,-3.7,6.5,0.4,4930
NickSolak,Rangers,33,135,5,19,17,2,11.10%,21.50%,0.198,0.354,0.293,0.393,0.491,0.375,126,88.3,-0.2,4.4,-4.7,0.4,19294
EdwinRios,Dodgers,28,56,4,10,8,0,16.10%,37.50%,0.34,0.409,0.277,0.393,0.617,0.413,161,95,-0.4,4.1,-1.5,0.4,18316
PeterLambert,Rockies,22,34,0,3,2,0,8.80%,29.40%,0,0.5,0.321,0.387,0.321,0.319,81,80.9,0,-0.9,4.2,0.4,17969
DylanMoore,Mariners,113,282,9,31,28,11,8.90%,33.00%,0.182,0.29,0.206,0.302,0.389,0.299,88,88.4,-0.7,-5.2,-0.6,0.4,18042
VladimirGuerreroJr,Blue Jays,123,514,15,52,69,0,8.90%,17.70%,0.162,0.308,0.272,0.339,0.433,0.329,105,89.4,-6.6,-3.4,-10.6,0.4,19611
StevenMatz,Mets,36,61,1,4,1,0,0.00%,27.90%,0.053,0.308,0.228,0.228,0.281,0.217,34,83.6,0,-5.4,7.5,0.4,13361
MattStrahm,Padres,47,27,0,1,1,0,7.40%,44.40%,0.095,0.667,0.286,0.348,0.381,0.317,96,94.4,0,-0.1,3.3,0.4,13799
NeilWalker,Marlins,115,381,8,37,38,3,11.00%,20.20%,0.134,0.316,0.261,0.344,0.395,0.319,99,86.2,-1,-1.3,-7.1,0.4,7539
HaroldRamirez,Marlins,119,446,11,54,50,2,4.00%,20.40%,0.14,0.328,0.276,0.312,0.416,0.308,92,88.9,0.5,-4,-6.5,0.4,14387
BrandonCrawford,Giants,147,560,11,58,59,3,9.50%,20.90%,0.122,0.274,0.228,0.304,0.35,0.281,74,87.8,-0.9,-20.3,5.9,0.4,5343
SeanRodriguez,Phillies,76,139,4,24,12,1,13.70%,29.50%,0.152,0.309,0.223,0.348,0.375,0.319,94,88.3,-0.2,-1.3,0.6,0.4,6589
KyleHigashioka,Yankees,18,57,3,8,11,0,0.00%,45.60%,0.25,0.321,0.214,0.211,0.464,0.27,65,89.8,0.7,-1.9,3.7,0.4,5517
NickMarkakis,Braves,116,469,9,61,62,2,10.00%,12.60%,0.135,0.31,0.285,0.356,0.42,0.332,102,91.2,-1.9,-0.5,-11,0.4,5930
CalebSmith,Marlins,30,49,0,2,3,0,0.00%,30.60%,0.047,0.357,0.233,0.25,0.279,0.23,41,91.6,0,-3.9,6,0.4,14875
TimBeckham,Mariners,88,328,15,39,47,1,6.40%,31.10%,0.224,0.305,0.237,0.293,0.461,0.315,99,87.2,-2.4,-2.9,-4.9,0.4,7949
RioRuiz,Orioles,127,413,12,35,46,0,9.70%,21.30%,0.143,0.272,0.232,0.306,0.376,0.294,79,88.4,-3.2,-14.2,3.3,0.4,14103
GiancarloStanton,Yankees,18,72,3,8,13,0,16.70%,33.30%,0.203,0.424,0.288,0.403,0.492,0.379,139,92.7,-0.4,3.2,-2.1,0.4,4949
GermanMarquez,Rockies,29,58,0,5,11,0,0.00%,24.10%,0.125,0.324,0.229,0.229,0.354,0.242,30,81.1,0,-5.4,7.1,0.4,15038
HyunJinRyu,Dodgers,30,67,1,3,3,0,6.00%,34.30%,0.078,0.259,0.157,0.218,0.235,0.202,23,86.9,0,-6.9,8.2,0.3,14444
CamGallagher,Royals,45,142,3,14,12,0,7.70%,19.70%,0.127,0.281,0.238,0.312,0.365,0.294,79,86.3,-3.1,-6.9,5.3,0.3,12981
TylerWade,Yankees,43,108,2,16,11,7,10.20%,25.90%,0.117,0.328,0.245,0.33,0.362,0.303,87,86.9,2.5,0.8,-1.2,0.3,15730
KyleGarlick,Dodgers,30,53,3,8,6,0,9.40%,35.80%,0.271,0.346,0.25,0.321,0.521,0.342,114,91.6,0.3,1.3,0.4,0.3,18063
JoseMartinez,Cardinals,128,373,10,45,42,3,9.40%,22.00%,0.141,0.328,0.269,0.34,0.41,0.323,101,88.9,-0.6,-0.3,-8.4,0.3,7996
RougnedOdor,Rangers,145,581,30,77,93,11,9.00%,30.60%,0.234,0.244,0.205,0.283,0.439,0.302,77,91.1,2.2,-14.9,-2.3,0.3,12282
AndrewStevenson,Nationals,30,37,0,4,0,0,16.20%,29.70%,0.1,0.579,0.367,0.486,0.467,0.417,157,84.6,-1.1,1.7,0.3,0.3,17932
TylerAustin,- - -,89,179,9,30,24,2,13.40%,37.40%,0.221,0.253,0.188,0.296,0.409,0.298,85,91.7,3.3,-0.3,-2.4,0.3,11850
MikeZunino,Rays,90,289,9,30,32,0,6.90%,33.90%,0.147,0.22,0.165,0.232,0.312,0.235,45,88.4,0.6,-19.9,12.7,0.3,13265
CJCron,Twins,125,499,25,51,78,0,5.80%,21.40%,0.216,0.277,0.253,0.311,0.469,0.325,101,91.1,-5.6,-5.1,-9.5,0.3,12546
TonyKemp,- - -,110,279,8,31,29,4,8.20%,16.80%,0.167,0.227,0.212,0.291,0.38,0.285,77,86.2,-1.3,-9.7,3,0.3,14894
JoshPhegley,Athletics,106,342,12,44,62,0,4.40%,18.40%,0.172,0.258,0.239,0.282,0.411,0.291,82,84.1,-4,-11.7,2.5,0.3,9308
BrettPhillips,Royals,30,79,2,7,6,3,12.70%,29.10%,0.123,0.167,0.138,0.247,0.262,0.228,34,87.6,1.1,-5.6,5.6,0.3,14735
ChadWallach,Marlins,19,54,1,4,3,0,11.10%,22.20%,0.125,0.314,0.25,0.333,0.375,0.309,93,89.8,0,-0.6,1.6,0.3,17161
CharlieCulberson,Braves,108,144,5,14,20,0,4.20%,30.60%,0.178,0.345,0.259,0.294,0.437,0.306,85,88.3,0,-2.9,1,0.3,3298
JeimerCandelario,Tigers,94,386,8,33,32,3,11.10%,25.60%,0.134,0.262,0.203,0.306,0.337,0.283,72,88.2,0.3,-13.4,2.5,0.3,13621
JackFlaherty,Cardinals,38,66,0,4,4,1,3.00%,25.80%,0.056,0.263,0.185,0.211,0.241,0.195,17,86.5,-0.3,-7.5,8.1,0.3,17479
AbrahamToro,Astros,25,89,2,13,9,1,10.10%,21.30%,0.167,0.259,0.218,0.303,0.385,0.295,85,86.9,0,-1.7,1.3,0.3,19844
GuillermoHeredia,Rays,89,231,5,31,20,2,7.80%,26.00%,0.137,0.293,0.225,0.306,0.363,0.291,82,86.6,1,-4.2,-1.3,0.3,18721
AlexBlandino,Reds,23,50,1,6,3,0,20.00%,28.00%,0.111,0.348,0.25,0.42,0.361,0.352,114,90.1,0.3,1.2,-0.2,0.3,16271
RyanMcBroom,Royals,23,83,0,8,6,0,8.40%,30.10%,0.067,0.44,0.293,0.361,0.36,0.318,95,84.9,-0.4,-0.8,0.5,0.3,16524
BenZobrist,Cubs,47,176,1,24,17,0,13.10%,13.60%,0.053,0.299,0.26,0.358,0.313,0.303,85,85.8,-1.9,-5.5,2.4,0.2,7435
TaylorClarke,Diamondbacks,23,25,1,2,2,0,0.00%,40.00%,0.125,0.385,0.25,0.25,0.375,0.262,57,84.5,0,-1.4,3.1,0.2,17611
StephenStrasburg,Nationals,34,80,1,4,10,0,3.80%,31.30%,0.056,0.239,0.167,0.2,0.222,0.186,5,88,0,-10,9.8,0.2,10131
AustinRiley,Braves,80,297,18,41,49,0,5.40%,36.40%,0.245,0.293,0.226,0.279,0.471,0.307,86,89.4,-1.1,-6.7,-0.6,0.2,18360
RandyArozarena,Cardinals,19,23,1,4,2,2,8.70%,17.40%,0.2,0.333,0.3,0.391,0.5,0.38,138,90.7,-0.1,1.1,0.5,0.2,19290
AndrewKnapp,Phillies,74,160,2,12,8,0,11.30%,31.90%,0.11,0.325,0.213,0.318,0.324,0.282,70,89.2,0.4,-5.9,3,0.2,14942
JoshVanMeter,Reds,95,260,8,33,23,9,11.20%,21.50%,0.171,0.279,0.237,0.327,0.408,0.316,91,90.1,-0.9,-4.2,-2,0.2,15170
NicoHoerner,Cubs,20,82,3,13,17,0,3.70%,13.40%,0.154,0.292,0.282,0.305,0.436,0.305,86,85.6,0.4,-1.1,0.7,0.2,21479
GavinLux,Dodgers,23,82,2,12,9,2,8.50%,29.30%,0.16,0.327,0.24,0.305,0.4,0.301,87,88.8,1.1,-0.3,-0.1,0.2,19955
JohnRyanMurphy,- - -,26,70,4,9,7,0,8.60%,40.00%,0.238,0.226,0.175,0.246,0.413,0.276,66,87.9,0.7,-2.5,2.4,0.2,10346
LuisGuillorme,Mets,45,70,1,8,3,0,10.00%,20.00%,0.115,0.304,0.246,0.324,0.361,0.299,87,87,0.2,-1,0.9,0.2,16451
MauricioDubon,- - -,30,111,4,12,9,3,4.50%,18.00%,0.16,0.305,0.274,0.306,0.434,0.312,95,84.8,0.3,-0.5,-0.9,0.2,16530
RyanGoins,White Sox,52,163,2,13,10,0,10.40%,27.00%,0.097,0.347,0.25,0.333,0.347,0.298,86,87.4,-1.4,-4.4,0.8,0.2,9807
RonnyRodriguez,Tigers,84,294,14,29,43,3,4.40%,27.90%,0.217,0.254,0.221,0.252,0.438,0.283,72,88.9,1.6,-8.9,0.6,0.2,11875
SethMejiasBrean,Padres,14,33,2,3,5,0,9.10%,27.30%,0.267,0.263,0.233,0.303,0.5,0.333,107,89.5,-0.2,0.1,0.9,0.2,13905
DannyMendick,White Sox,16,40,2,6,4,0,2.50%,27.50%,0.154,0.385,0.308,0.325,0.462,0.332,108,86.4,-0.6,-0.2,0.8,0.2,18889
JoeMusgrove,Pirates,46,61,0,8,3,0,3.30%,31.10%,0.078,0.25,0.157,0.189,0.235,0.183,7,86.8,0,-7.5,7.5,0.2,12970
JustinSmoak,Blue Jays,121,500,22,54,61,0,15.80%,21.20%,0.198,0.223,0.208,0.342,0.406,0.323,101,90.3,-4.5,-3.9,-11.8,0.2,9054
KevinPlawecki,Indians,60,174,3,13,17,0,6.90%,17.80%,0.12,0.256,0.222,0.287,0.342,0.273,63,85.6,-1.3,-9.6,5.4,0.2,13807
LoganForsythe,Rangers,101,367,7,38,39,2,12.00%,27.20%,0.126,0.307,0.227,0.325,0.353,0.298,75,89.2,0.1,-11.7,0.7,0.2,7185
FranchyCordero,Padres,9,20,0,2,1,1,20.00%,35.00%,0.067,0.556,0.333,0.45,0.4,0.373,133,92.4,0.8,1.6,-0.3,0.2,14567
JoePanik,- - -,142,491,5,50,39,4,8.80%,9.60%,0.091,0.262,0.244,0.315,0.336,0.284,76,86.8,-2.3,-17.8,3.8,0.2,11936
ThairoEstrada,Yankees,35,69,3,12,12,4,4.30%,21.70%,0.188,0.283,0.25,0.294,0.438,0.308,91,88.6,1.2,0.4,-0.9,0.2,16426
AdamWainwright,Cardinals,31,59,0,6,2,0,3.40%,33.90%,0.06,0.258,0.16,0.189,0.22,0.177,5,87.9,0,-7.4,7.3,0.2,2233
DomingoLeyba,Diamondbacks,21,30,0,6,5,0,13.30%,30.00%,0.16,0.412,0.28,0.367,0.44,0.34,108,85,0.5,0.8,-0.1,0.2,16404
BreyvicValera,- - -,17,52,1,7,6,0,7.70%,13.50%,0.149,0.256,0.234,0.308,0.383,0.297,84,85.9,0.2,-0.9,0.8,0.2,12758
CristhianAdames,Giants,10,24,0,1,2,0,8.30%,33.30%,0.045,0.5,0.318,0.375,0.364,0.326,103,85.9,0.3,0.4,0.4,0.1,6013
BrianO'Grady,Reds,28,48,2,4,3,0,8.30%,35.40%,0.238,0.261,0.19,0.292,0.429,0.305,83,87.9,0.3,-0.8,0.6,0.1,16729
RomanQuinn,Phillies,44,122,4,18,11,8,9.80%,27.90%,0.157,0.271,0.213,0.298,0.37,0.289,75,88.9,2.2,-1.8,-0.8,0.1,13546
MichaelHermosillo,Angels,18,46,0,7,3,2,10.90%,41.30%,0.083,0.278,0.139,0.304,0.222,0.254,56,91.5,1.1,-1.5,1.2,0.1,16285
ZackGodley,- - -,33,23,0,3,2,0,13.00%,43.50%,0,0.333,0.158,0.273,0.158,0.213,26,80.8,0,-2.3,2.8,0.1,14862
KristopherNegron,- - -,40,82,2,12,8,1,6.10%,31.70%,0.091,0.347,0.247,0.293,0.338,0.269,66,84.8,1.7,-1.8,0.4,0.1,5306
AaronNola,Phillies,34,70,0,6,2,0,8.60%,50.00%,0.034,0.292,0.119,0.2,0.153,0.168,-4,86.7,0,-9.7,8.6,0.1,16149
LuisUrias,Padres,71,249,4,27,24,0,10.00%,22.50%,0.102,0.284,0.223,0.329,0.326,0.294,81,87.3,-2,-8.2,1.3,0.1,16622
RowdyTellez,Blue Jays,111,409,21,49,54,1,7.10%,28.40%,0.222,0.267,0.227,0.293,0.449,0.308,91,90.7,-1.6,-6.5,-6.8,0.1,15679
FranciscoCervelli,- - -,48,160,3,15,12,1,8.10%,25.60%,0.135,0.278,0.213,0.302,0.348,0.285,73,86.9,-1.9,-7.5,3.5,0.1,5275
ClintFrazier,Yankees,69,246,12,31,38,1,6.50%,28.50%,0.222,0.329,0.267,0.317,0.489,0.333,108,88.5,-1.2,1.3,-8.8,0.1,15983
TylerChatwood,Cubs,41,21,0,1,1,0,4.80%,28.60%,0.111,0.25,0.167,0.211,0.278,0.21,24,90,0,-2.1,2.6,0.1,4338
SheldonNeuse,Athletics,25,61,0,3,7,0,6.60%,31.10%,0.054,0.368,0.25,0.295,0.304,0.262,63,90.9,-0.3,-3.3,2.2,0.1,19635
ColinMoran,Pirates,149,503,13,46,80,0,6.00%,23.30%,0.152,0.341,0.277,0.322,0.429,0.315,94,88.2,-3.4,-7.4,-7.8,0.1,16909
TrevorWilliams,Pirates,26,44,0,2,4,0,4.50%,38.60%,0,0.316,0.167,0.211,0.167,0.174,1,84.4,0,-5.8,5.4,0.1,16977
RyanZimmerman,Nationals,52,190,6,20,27,0,8.90%,20.50%,0.158,0.297,0.257,0.321,0.415,0.313,89,91.4,0.7,-2.1,-3.1,0.1,4220
KyleHendricks,Cubs,31,64,0,1,5,0,3.10%,45.30%,0.019,0.32,0.148,0.193,0.167,0.165,-6,86,0,-9,7.9,0.1,12049
SonnyGray,Reds,34,60,0,3,3,0,3.30%,31.70%,0.043,0.259,0.152,0.188,0.196,0.169,-6,84.8,0,-8.4,7.4,0.1,12768
BeauTaylor,- - -,11,30,2,3,2,0,13.30%,23.30%,0.24,0.125,0.16,0.3,0.4,0.303,92,89.7,0,-0.4,0.3,0.1,12384
KevinCron,Diamondbacks,39,78,6,12,16,0,5.10%,35.90%,0.31,0.237,0.211,0.269,0.521,0.321,96,89.9,-0.5,-0.9,-0.7,0.1,16211
RichHill,Dodgers,13,20,0,0,1,0,5.00%,45.00%,0.056,0.333,0.167,0.211,0.222,0.192,16,69.8,0,-2.2,2.5,0.1,4806
PabloLopez,Marlins,22,36,0,1,3,0,0.00%,52.80%,0.057,0.375,0.171,0.171,0.229,0.169,1,88.8,0,-4.7,4.4,0.1,17085
CorySpangenberg,Brewers,32,102,2,11,10,3,5.90%,35.30%,0.126,0.351,0.232,0.277,0.358,0.267,60,85.1,0.6,-4.8,2.4,0.1,12294
RossStripling,Dodgers,32,24,0,1,1,0,8.30%,29.20%,0,0.231,0.15,0.227,0.15,0.181,9,79.5,0,-2.9,3,0.1,13273
MattThaiss,Angels,53,164,8,17,23,0,10.40%,31.70%,0.211,0.264,0.211,0.293,0.422,0.303,89,89.1,-1.6,-3.8,-1.2,0.1,19318
MaxScherzer,Nationals,29,61,0,6,2,2,0.00%,44.30%,0,0.357,0.182,0.182,0.182,0.158,-13,87.2,0.4,-8.7,7.5,0.1,3137
JeffHoffman,Rockies,18,24,0,2,1,0,0.00%,37.50%,0,0.417,0.238,0.238,0.238,0.207,7,81.3,0,-2.9,3,0.1,17432
TrevorBauer,- - -,34,22,0,1,0,0,9.10%,54.50%,0,0.429,0.158,0.238,0.158,0.19,7,87.1,0,-2.7,2.7,0.1,12703
RobelGarcia,Cubs,31,80,5,8,11,0,8.80%,43.80%,0.292,0.303,0.208,0.275,0.5,0.315,93,89.8,0.2,-0.6,-1.3,0.1,13167
TannerRoark,- - -,31,34,1,2,2,0,0.00%,38.20%,0.121,0.211,0.152,0.152,0.273,0.175,-2,85.3,0,-4.6,4.2,0.1,8753
GregAllen,Indians,89,256,4,30,27,8,4.30%,20.70%,0.117,0.28,0.229,0.29,0.346,0.274,63,87.3,0.6,-11.4,3,0.1,16623
RyanLaMarre,Twins,14,26,2,3,3,1,11.50%,19.20%,0.261,0.188,0.217,0.308,0.478,0.329,104,86.1,-0.2,-0.1,-0.2,0.1,10700
JorgeBonifacio,Royals,5,21,0,3,3,0,4.80%,33.30%,0.15,0.538,0.35,0.381,0.5,0.372,132,89.2,-0.3,0.5,-0.7,0.1,12174
VinceVelasquez,Phillies,35,36,1,2,3,0,5.60%,25.00%,0.1,0.3,0.233,0.281,0.333,0.267,60,84.7,0,-1.9,1.3,0.1,11189
JhoulysChacin,- - -,25,25,1,2,1,0,4.00%,40.00%,0.125,0.154,0.125,0.16,0.25,0.175,-1,88.2,0,-3.3,3.1,0.1,2608
MichaelPerez,Rays,22,55,0,6,2,0,14.50%,34.50%,0.109,0.37,0.217,0.345,0.326,0.303,91,92.5,-0.4,-1.1,-0.3,0.1,12977
ReneRivera,Mets,9,20,1,2,3,0,15.00%,20.00%,0.176,0.25,0.235,0.35,0.412,0.331,108,87.6,0.1,0.3,-0.5,0,3648
MichaelWacha,Cardinals,29,39,0,3,3,0,0.00%,53.80%,0.028,0.4,0.167,0.167,0.194,0.155,-10,81.9,0,-5.7,4.8,0,14078
ZachDavies,Brewers,35,55,0,3,3,0,1.80%,45.50%,0.038,0.296,0.154,0.17,0.192,0.157,-12,82.6,0,-8.1,6.8,0,13183
GarrettStubbs,Astros,19,39,0,8,2,1,10.30%,17.90%,0.086,0.25,0.2,0.282,0.286,0.254,57,84.8,1,-1.2,0.2,0,18067
TylerO'Neill,Cardinals,60,151,5,18,16,1,6.60%,35.10%,0.149,0.386,0.262,0.311,0.411,0.308,91,89.1,0.1,-1.7,-2.9,0,15711
DomingoSantana,Mariners,121,507,21,63,69,8,9.90%,32.30%,0.188,0.347,0.253,0.329,0.441,0.326,107,89,0.5,4.8,-22.4,0,10348
MallexSmith,Mariners,134,566,6,70,37,46,7.40%,24.90%,0.108,0.302,0.227,0.3,0.335,0.278,74,85.2,8.5,-10.5,-9.3,0,13608
ColeTucker,Pirates,56,159,2,16,13,0,6.30%,25.20%,0.15,0.276,0.211,0.266,0.361,0.264,61,87.9,0.9,-7.3,2.5,0,17326
ColeHamels,Cubs,27,46,0,1,4,0,2.20%,32.60%,0.024,0.214,0.143,0.178,0.167,0.155,-12,84.6,0,-6.8,5.7,0,4972
JakeArrieta,Phillies,24,50,0,2,4,0,2.00%,38.00%,0.022,0.269,0.156,0.174,0.178,0.155,-13,87,0,-7.5,6.1,0,4153
NoahSyndergaard,Mets,32,69,2,6,2,0,4.30%,68.10%,0.108,0.25,0.092,0.132,0.2,0.144,-15,88.2,0,-10.4,8.5,0,11762
JoshRojas,Diamondbacks,41,157,2,17,16,4,11.50%,26.10%,0.094,0.295,0.217,0.312,0.312,0.279,68,89,-0.8,-7.4,2.6,0,19734
DereckRodriguez,Giants,29,29,0,1,0,0,0.00%,58.60%,0,0.417,0.172,0.172,0.172,0.15,-12,85.4,0,-4.3,3.6,0,14509
ErickMejia,Royals,9,27,0,3,4,0,14.80%,25.90%,0.045,0.313,0.227,0.333,0.273,0.276,67,80.7,0,-1.2,0.4,0,15817
CalebJoseph,Diamondbacks,20,41,0,5,3,0,2.40%,24.40%,0.053,0.286,0.211,0.25,0.263,0.227,34,87,0.2,-3.4,2.2,0,7087
ChristianArroyo,Rays,16,57,2,8,7,0,8.80%,31.60%,0.16,0.3,0.22,0.304,0.38,0.296,86,84.4,0.1,-1,-1,0,16434
ChrisArcher,Pirates,23,41,0,1,2,0,7.30%,46.30%,0,0.25,0.114,0.184,0.114,0.146,-17,83,0,-6.3,5,0,6345
MichaelATaylor,Nationals,53,97,1,10,3,6,7.20%,35.10%,0.114,0.396,0.25,0.305,0.364,0.289,73,91.5,1.6,-1.9,-1.2,0,11489
TyFrance,Padres,69,201,7,20,24,0,4.50%,24.40%,0.168,0.279,0.234,0.294,0.402,0.296,83,88.9,-3.5,-8,1.5,0,17982
JakeLamb,Diamondbacks,78,226,6,26,30,1,14.20%,24.30%,0.16,0.234,0.193,0.323,0.353,0.297,80,90.7,1.5,-4.5,-2.8,0,13329
TzuWeiLin,Red Sox,13,22,0,3,1,1,9.10%,27.30%,0.1,0.286,0.2,0.273,0.3,0.252,48,83,0,-1.5,0.7,0,14678
BillyMcKinney,Blue Jays,84,276,12,37,28,0,6.90%,26.40%,0.207,0.25,0.215,0.274,0.422,0.291,79,86.7,-0.4,-7.6,-2.2,0,15654
JoseOsuna,Pirates,95,285,10,41,36,0,6.30%,16.80%,0.192,0.285,0.264,0.31,0.456,0.32,97,89.2,-1.3,-2.5,-6.8,0,12937
ZachEflin,Phillies,32,52,0,3,2,0,0.00%,51.90%,0.02,0.348,0.16,0.16,0.18,0.146,-19,81.9,0,-8.2,6.4,0,13774
LukeWeaver,Diamondbacks,13,21,1,2,4,0,0.00%,52.40%,0.158,0.125,0.105,0.1,0.263,0.14,-23,91.2,0,-3.4,2.6,0,16918
DerekFisher,- - -,57,167,7,23,17,5,12.60%,34.10%,0.185,0.244,0.185,0.287,0.37,0.285,76,92.3,0.1,-5.1,-1,0,16192
IldemaroVargas,Diamondbacks,92,211,6,25,24,1,4.30%,11.40%,0.144,0.279,0.269,0.299,0.413,0.3,82,87.1,-0.5,-5.5,-1.5,0,13324
TylerBeede,Giants,25,43,0,2,1,0,7.00%,53.50%,0,0.267,0.105,0.171,0.105,0.135,-21,81.7,0,-6.9,5.3,0,16981
RajaiDavis,Mets,29,26,1,4,8,0,3.80%,19.20%,0.2,0.211,0.2,0.231,0.4,0.262,63,87,-0.1,-1.4,0.3,0,3708
KelvinGutierrez,Royals,20,79,1,4,11,1,6.30%,30.40%,0.096,0.367,0.26,0.304,0.356,0.284,72,90.2,0.3,-2.6,-0.5,0,17468
JasonMartin,Pirates,20,40,0,5,2,2,10.00%,25.00%,0.056,0.346,0.25,0.325,0.306,0.282,72,91,1.6,0.1,-1.7,0,16429
DallasKeuchel,Braves,19,41,0,0,2,0,2.40%,68.30%,0.026,0.5,0.132,0.154,0.158,0.138,-25,84.2,0,-6.8,5,0,9434
DinelsonLamet,Padres,14,24,0,1,0,0,0.00%,45.80%,0,0.3,0.143,0.143,0.143,0.124,-30,81.3,0,-4.1,3,0,17186
TrevorRichards,- - -,31,34,0,2,0,0,5.90%,52.90%,0,0.25,0.1,0.156,0.1,0.125,-28,85.2,0,-5.8,4.2,0,19309
JoeRoss,Nationals,28,20,0,1,0,0,5.00%,50.00%,0,0.222,0.105,0.15,0.105,0.121,-37,87.3,0,-3.6,2.5,0,12972
RyanCourt,Mariners,12,25,1,1,5,0,4.00%,44.00%,0.167,0.333,0.208,0.24,0.375,0.258,61,81,0.2,-1.1,-0.4,-0.1,12268
MasonWilliams,Orioles,11,34,0,4,2,1,8.80%,17.60%,0.033,0.32,0.267,0.324,0.3,0.276,67,87.6,0.7,-0.8,-1,-0.1,11859
ErickFedde,Nationals,21,20,0,1,0,0,0.00%,30.00%,0,0.222,0.133,0.133,0.133,0.116,-40,81.5,0,-3.7,2.5,-0.1,17425
WilfredoTovar,Angels,31,88,0,5,5,0,5.70%,17.00%,0.06,0.235,0.193,0.239,0.253,0.217,31,86.6,0.6,-7.2,3.5,-0.1,10416
KyleFreeland,Rockies,22,31,0,1,0,0,9.70%,48.40%,0,0.25,0.087,0.192,0.087,0.147,-32,93.6,0,-5.4,3.8,-0.1,16256
JBShuck,Pirates,27,57,0,4,2,1,14.00%,17.50%,0.043,0.27,0.213,0.339,0.255,0.279,70,86.7,0.2,-2,-0.4,-0.1,6677
JoeyRickard,- - -,68,189,3,14,10,4,9.50%,26.50%,0.131,0.304,0.226,0.312,0.357,0.29,78,84.8,0.6,-4.8,-2.3,-0.1,13277
WalkerBuehler,Dodgers,30,66,1,5,2,0,6.10%,50.00%,0.051,0.16,0.085,0.143,0.136,0.13,-25,88.1,0,-10.9,8.1,-0.1,19374
GregBird,Yankees,10,41,1,6,1,0,14.60%,39.00%,0.086,0.278,0.171,0.293,0.257,0.254,54,85.3,0.3,-2.1,0,-0.1,14131
AnthonyAlford,Blue Jays,16,30,1,3,1,2,3.30%,36.70%,0.107,0.25,0.179,0.233,0.286,0.228,36,86.1,0.7,-1.8,0,-0.1,14329
DomNunez,Rockies,16,43,2,4,4,0,7.00%,39.50%,0.231,0.238,0.179,0.233,0.41,0.264,44,87.5,0.4,-2.8,0.6,-0.1,15055
ShaunAnderson,Giants,28,28,0,0,0,0,0.00%,67.90%,0.04,0.333,0.08,0.115,0.12,0.108,-39,85.6,0,-5.2,3.4,-0.1,19453
KyleFarmer,Reds,97,197,9,22,27,4,5.10%,29.90%,0.18,0.284,0.23,0.279,0.41,0.289,73,85.4,1.6,-5.5,-1.7,-0.1,14813
ErikGonzalez,Pirates,53,156,1,15,6,4,5.80%,23.70%,0.063,0.333,0.254,0.301,0.317,0.262,59,87.4,-0.2,-8.6,2.7,-0.1,13369
AramisGarcia,Giants,18,46,2,5,5,0,8.70%,45.70%,0.167,0.211,0.143,0.217,0.31,0.217,32,87.4,0,-4.1,1.8,-0.1,16925
AdrianHouser,Brewers,35,27,0,0,0,0,7.40%,63.00%,0.045,0.2,0.045,0.125,0.091,0.108,-44,92.9,0,-5.1,3.3,-0.1,12718
ChaseAnderson,Brewers,33,44,0,1,1,0,4.50%,54.50%,0.025,0.25,0.1,0.143,0.125,0.124,-34,84,0,-7.8,5.4,-0.1,6895
JosePirela,- - -,14,24,1,1,2,0,8.30%,29.20%,0.182,0.214,0.182,0.25,0.364,0.262,60,86.4,-0.3,-1.7,-0.1,-0.1,5485
MilesMikolas,Cardinals,32,62,0,1,2,0,0.00%,43.50%,0.017,0.25,0.136,0.136,0.153,0.124,-30,81.6,0,-10.6,7.6,-0.1,9803
TaylorDavis,Cubs,7,20,1,2,4,0,10.00%,20.00%,0.167,0.154,0.167,0.25,0.333,0.253,52,87,0.1,-1.2,-0.5,-0.1,12782
RangelRavelo,Cardinals,29,43,2,4,7,0,7.00%,27.90%,0.205,0.231,0.205,0.256,0.41,0.276,70,93.8,-0.7,-2.4,0,-0.1,10839
EricLauer,Padres,30,48,0,1,0,0,2.10%,47.90%,0.05,0.235,0.1,0.122,0.15,0.119,-34,84,0,-8.5,5.9,-0.1,19316
BrandonDixon,Tigers,118,420,15,41,52,5,5.00%,32.40%,0.187,0.336,0.248,0.29,0.435,0.303,86,89.6,1.1,-6.4,-9.5,-0.1,15214
GordonBeckham,Tigers,83,240,6,29,15,3,5.40%,28.30%,0.157,0.282,0.215,0.271,0.372,0.274,66,86.2,-0.1,-10.4,0.8,-0.1,9015
