Player,,,PA,R_prod,WAR/pos,dWAR,oWAR,WPA,BtRuns,Year,Age,Tm,Lg,G,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,GDP,SB,CS,BA,OBP,SLG,OPS,Pos
MarcusSemien,,semiema01,747,182,8.9,2.2,7.5,2.261,38,2019,28,OAK,AL,162,657,123,187,43,7,33,92,87,2,102,2,0,1,11,10,8,0.285,0.369,0.522,0.892,*6
WhitMerrifield,,merriwh01,735,163,3.7,0.3,3.3,-0.498,11,2019,30,KCR,AL,162,681,105,206,41,10,16,74,45,5,126,5,0,4,8,20,10,0.302,0.348,0.463,0.811,*498/D37
RonaldAcunaJr,,acunaro01,715,187,5.7,0.9,4.8,4.282,20,2019,21,ATL,NL,156,626,127,175,22,2,41,101,76,4,188,9,0,1,8,37,9,0.28,0.365,0.518,0.883,*879/H
JonathanVillar,,villajo01,714,160,3.9,-0.1,4.8,0.239,8,2019,28,BAL,AL,162,642,111,176,33,5,24,73,61,0,176,4,2,4,8,40,9,0.274,0.339,0.453,0.792,*4*6/HD
MookieBetts,,bettsmo01,706,186,6.9,1.2,5.2,4.041,35,2019,26,BOS,AL,150,597,135,176,40,5,29,80,97,6,101,3,0,9,11,16,3,0.295,0.391,0.524,0.915,*98/DH
RhysHoskins,,hoskirh01,705,142,1.6,-1.1,1.8,-0.011,12,2019,26,PHI,NL,160,570,86,129,33,5,29,85,116,6,173,11,0,6,10,2,2,0.226,0.364,0.454,0.819,*3/D
JorgePolanco,,polanjo01,704,164,4.8,0.2,5.4,1.366,20,2019,25,MIN,AL,153,631,107,186,40,7,22,79,60,2,116,4,2,7,11,4,3,0.295,0.356,0.485,0.841,*6D/H
OzzieAlbies,,albieoz01,702,164,5.2,1.4,4.3,1.144,13,2019,22,ATL,NL,160,640,102,189,43,8,24,86,54,6,112,4,0,4,2,15,4,0.295,0.352,0.5,0.852,*4/H
RafaelDevers,,deverra01,702,212,4.9,-0.5,5.8,2.076,31,2019,22,BOS,AL,156,647,129,201,54,4,32,115,48,7,119,4,1,2,8,8,8,0.311,0.361,0.555,0.916,*5/H6D
EduardoEscobar,,escobed01,699,177,3.6,0.3,3.7,0.462,8,2019,30,ARI,NL,158,636,94,171,29,10,35,118,50,3,130,3,0,10,8,5,1,0.269,0.32,0.511,0.831,*54/HD
XanderBogaerts,,bogaexa01,698,194,5.9,-0.4,7.1,4.398,39,2019,26,BOS,AL,155,614,110,190,52,0,33,117,76,2,122,2,0,6,11,4,2,0.309,0.384,0.555,0.939,*6/HD
Jos̩Abreu,,abreujo02,693,175,2,-1.6,2.7,2.394,18,2019,32,CHW,AL,159,634,85,180,38,1,33,123,36,4,152,13,0,10,24,2,2,0.284,0.33,0.503,0.834,*3D
PeteAlonso,,alonspe01,693,170,5.2,-1.3,5.7,3.534,42,2019,24,NYM,NL,161,597,103,155,30,2,53,120,72,6,183,21,0,3,13,1,0,0.26,0.358,0.583,0.941,*3/HD
FreddieFreeman,,freemfr01,692,196,4,-0.9,4.1,4.396,34,2019,29,ATL,NL,158,597,113,176,34,2,38,121,87,11,127,6,0,2,17,6,3,0.295,0.389,0.549,0.938,*3/H
AlexBregman,,bregmal01,690,193,9.1,1.9,7.7,4.028,57,2019,25,HOU,AL,156,554,122,164,37,2,41,112,119,2,83,9,0,8,9,5,1,0.296,0.423,0.592,1.015,*56/D
CarlosSantana,,santaca01,686,169,4.6,-0.7,4.5,3.402,34,2019,33,CLE,AL,158,573,110,161,30,1,34,93,108,12,108,3,0,2,13,4,0,0.281,0.397,0.515,0.911,*3D
PaulGoldschmidt,,goldspa01,682,160,2.4,-1,2.6,2.859,12,2019,31,STL,NL,161,597,97,155,25,1,34,97,78,2,166,2,0,3,11,3,1,0.26,0.346,0.476,0.821,*3/H
BryceHarper,,harpebr03,682,177,4.3,0.3,3.5,4.586,24,2019,26,PHI,NL,157,573,98,149,36,1,35,114,99,11,178,6,0,4,10,15,3,0.26,0.372,0.51,0.882,*9/HD
TreyMancini,,mancitr01,679,168,3.5,-1.4,4.1,1.839,32,2019,27,BAL,AL,154,602,106,175,38,2,35,97,63,3,143,9,0,5,22,1,0,0.291,0.364,0.535,0.899,*93D/7H
JorgeSoler,,solerjo01,679,164,3.6,-1.8,4.3,1.706,33,2019,27,KCR,AL,162,589,95,156,33,1,48,117,73,3,178,10,0,4,16,3,1,0.265,0.354,0.569,0.922,*D9/H
StarlinCastro,,castrst01,676,132,1.4,0.7,1.2,-0.004,-6,2019,29,MIA,NL,162,636,68,172,31,4,22,86,28,2,111,3,0,9,23,2,2,0.27,0.3,0.436,0.736,*45/6H
MattChapman,,chapmma01,670,157,8.3,3.9,4.8,3.584,23,2019,26,OAK,AL,156,583,102,145,36,3,36,91,73,0,147,11,0,3,12,1,1,0.249,0.342,0.506,0.848,*5
CesarHernandez,,hernace02,667,134,1.6,0,2.1,-0.662,-9,2019,29,PHI,NL,161,612,77,171,31,3,14,71,45,4,100,6,0,4,9,9,2,0.279,0.333,0.408,0.741,*4/H
EricHosmer,,hosmeer01,667,149,-0.2,-1.3,0.3,-0.197,-6,2019,29,SDP,NL,160,619,72,164,29,2,22,99,40,3,163,3,0,5,12,0,3,0.265,0.31,0.425,0.735,*3/HD
